symbol,friendly_name,last_price,high,low,change_real,change_percent,volume,date,rsi,market_cap,pe_ratio,sector,industry
PETR4.SA,PETROBRAS   PN  EDJ N2,36.38,37.04,36.32,-0.39,-1.06,23314200,2025-01-03,49.86,498.66,4.62,Energy,Oil & Gas Integrated
VALE3.SA,VALE        ON      NM,53.24,54.0,52.88,-1.01,-1.86,23608700,2025-01-03,29.29,227.27,4.01,Basic Materials,Other Industrial Metals & Mining
ITUB4.SA,ITAUUNIBANCOPN  EJ  N1,29.82,30.62,29.82,-0.75,-2.45,35339100,2025-01-03,27.68,275.02,7.53,Financial Services,Banks - Regional
BBDC4.SA,BRADESCO    PN  EJ  N1,11.2,11.44,11.13,-0.18,-1.59,27722400,2025-01-03,37.2,114.14,8.62,Financial Services,Banks - Regional
ABEV3.SA,AMBEV S/A   ON  EDJ,11.33,11.55,11.27,-0.27,-2.33,41365900,2025-01-03,19.34,178.2,12.88,Consumer Defensive,Beverages - Brewers
BBAS3.SA,BRASIL      ON      NM,23.74,24.06,23.68,-0.18,-0.75,13778900,2025-01-03,38.06,135.51,3.68,Financial Services,Banks - Regional
B3SA3.SA,B3          ON  EJ  NM,10.1,10.28,10.04,-0.1,-0.98,42817300,2025-01-03,58.14,53.52,12.95,Financial Services,Financial Data & Stock Exchanges
WEGE3.SA,WEG         ON  EJ  NM,52.46,53.11,52.26,-0.26,-0.49,5796000,2025-01-03,30.65,220.1,36.18,Industrials,Specialty Industrial Machinery
RENT3.SA,LOCALIZA    ON      NM,32.28,32.56,32.02,0.08,0.25,7114500,2025-01-03,41.62,34.01,20.43,Industrials,Rental & Leasing Services
MGLU3.SA,MAGAZ LUIZA ON      NM,6.26,6.56,6.15,-0.17,-2.64,20272000,2025-01-03,21.81,4.61,10.1,Consumer Cyclical,Specialty Retail
